representation,pearson_r_performance,pearson_p_performance,pearson_r_structural_displayed,pearson_p_structural
# Fold 0
Feature Graph,0.5019193914887665,0.000000,-0.5588841238689162,0.000000
Tree Descriptor,0.4571949286409235,0.000000,-0.38817260573258666,0.000000
Leaf Profile,0.8791355809446876,0.000000,-0.32392217362728115,0.000000
Topological Forest,0.014871516719895311,0.599381,-0.5905061757246911,0.000000
INDTree,0.2578741968316576,0.000000,-0.6867344347629696,0.000000
# Fold 1
Feature Graph,0.32559036185048706,0.000000,-0.6506786869445825,0.000000
Tree Descriptor,0.5036567873899704,0.000000,-0.4269004414727099,0.000000
Leaf Profile,0.6674286470030257,0.000000,-0.3819053481674002,0.000000
Topological Forest,-0.00568105682225318,0.840967,-0.6170126474189875,0.000000
INDTree,0.1914519933665437,0.000000,-0.696742864054244,0.000000
# Fold 2
Feature Graph,0.3288175016434617,0.000000,-0.5769730752950312,0.000000
Tree Descriptor,0.41345280565070436,0.000000,-0.40300188425859007,0.000000
Leaf Profile,0.7607652448601244,0.000000,-0.29626487803304824,0.000000
Topological Forest,-0.05786476130838267,0.040806,-0.5966230927290114,0.000000
INDTree,0.05273530553243777,0.062335,-0.6962582148912898,0.000000
